,ID,Name,State,avg_temp,max_temp,min_temp,precipitation,fips
213,CA-111,Ventura County,California,59.3,71.7,46.9,76.16,6051
214,CA-113,Yolo County,California,63.1,76.9,49.3,85.21,6053
215,CA-115,Yuba County,California,62.3,75,49.5,158.33,6055
216,CO-001,Adams County,Colorado,50.5,65.8,35.3,68.16,6057
217,CO-003,Alamosa County,Colorado,44.5,61,28,49.11,6059
218,CO-005,Arapahoe County,Colorado,50,65.1,35,70.67,6061
219,CO-007,Archuleta County,Colorado,45.3,59.5,31.1,91.42,6063
220,CO-009,Baca County,Colorado,54.1,69.7,38.5,83.68,6065
221,CO-011,Bent County,Colorado,54.5,70.4,38.5,69.12,6067
222,CO-013,Boulder County,Colorado,45.8,58.7,32.8,96.64,6069
223,CO-014,Broomfield County,Colorado,51.5,65.9,37.2,70.14,6071
224,CO-015,Chaffee County,Colorado,39.1,52.7,25.5,77.18,6073
225,CO-017,Cheyenne County,Colorado,52,67.4,36.6,73.37,6075
226,CO-019,Clear Creek County,Colorado,38.5,50,27.1,121.93,6077
227,CO-021,Conejos County,Colorado,41.9,56.2,27.6,77.53,6079
228,CO-023,Costilla County,Colorado,43.8,58.4,29.3,77.61,6081
229,CO-025,Crowley County,Colorado,52.9,69.5,36.4,61.98,6083
230,CO-027,Custer County,Colorado,42.8,56.2,29.3,88.94,6085
231,CO-029,Delta County,Colorado,48.3,61.3,35.3,70.23,6087
232,CO-031,Denver County,Colorado,51.6,66,37.3,65.37,6089
233,CO-033,Dolores County,Colorado,44.9,58.1,31.6,85.65,6091
234,CO-035,Douglas County,Colorado,47.8,61.9,33.8,80.3,6093
235,CO-037,Eagle County,Colorado,40.7,53.5,27.9,104.2,6095
236,CO-039,Elbert County,Colorado,48.6,64,33.3,77.01,6097
237,CO-041,El Paso County,Colorado,49.1,64.2,34.1,75.56,6099
238,CO-043,Fremont County,Colorado,46.4,61.1,31.8,65.2,6101
239,CO-045,Garfield County,Colorado,44.8,56.7,32.9,92.27,6103
240,CO-047,Gilpin County,Colorado,40.5,52,29,106.56,6105
241,CO-049,Grand County,Colorado,38.5,51.4,25.5,101.98,6107
242,CO-051,Gunnison County,Colorado,39.5,52.8,26.2,96.18,6109
243,CO-053,Hinsdale County,Colorado,37.8,50.2,25.4,123.28,6111
244,CO-055,Huerfano County,Colorado,48.4,62.5,34.3,83.29,6113
245,CO-057,Jackson County,Colorado,37.7,50.8,24.7,108.74,6115
246,CO-059,Jefferson County,Colorado,47,60.6,33.4,82.85,8001
247,CO-061,Kiowa County,Colorado,53,68.7,37.4,72.53,8003
248,CO-063,Kit Carson County,Colorado,51.9,66.8,36.9,81,8005
249,CO-065,Lake County,Colorado,35.6,48.7,22.5,115.83,8007
250,CO-067,La Plata County,Colorado,46.5,60.2,32.8,83.81,8009
251,CO-069,Larimer County,Colorado,43.3,56.1,30.4,98.53,8011
252,CO-071,Las Animas County,Colorado,52.3,67.4,37.2,77.03,8013
253,CO-073,Lincoln County,Colorado,50.7,66.6,34.7,66.06,8014
254,CO-075,Logan County,Colorado,50.4,64.9,35.8,74.49,8015
255,CO-077,Mesa County,Colorado,49,61.7,36.3,67.82,8017
256,CO-079,Mineral County,Colorado,38.4,51.5,25.4,117.85,8019
257,CO-081,Moffat County,Colorado,45.2,58.5,31.9,65.22,8021
258,CO-083,Montezuma County,Colorado,50.2,64.2,36.2,64.08,8023
259,CO-085,Montrose County,Colorado,49.2,62.6,35.8,57.89,8025
260,CO-087,Morgan County,Colorado,50.6,66.1,35,66.85,8027
261,CO-089,Otero County,Colorado,54.3,70.4,38.2,67.89,8029
262,CO-091,Ouray County,Colorado,43.2,57,29.3,86.97,8031
263,CO-093,Park County,Colorado,39.2,53,25.4,80.61,8033
264,CO-095,Phillips County,Colorado,50.5,65,36.1,83.72,8035
265,CO-097,Pitkin County,Colorado,39.2,51.4,27,130.11,8037
266,CO-099,Prowers County,Colorado,54.2,70,38.4,79.81,8039
267,CO-101,Pueblo County,Colorado,53.4,68.7,38,66.36,8041
268,CO-103,Rio Blanco County,Colorado,45.6,58.4,32.9,82.46,8043
269,CO-105,Rio Grande County,Colorado,41.6,56.5,26.7,63.61,8045
270,CO-107,Routt County,Colorado,41.1,53.8,28.4,111.7,8047
271,CO-109,Saguache County,Colorado,40.5,54.5,26.4,70.5,8049
272,CO-111,San Juan County,Colorado,36.9,48.4,25.4,162.61,8051
273,CO-113,San Miguel County,Colorado,46.4,60,32.8,68.96,8053
274,CO-115,Sedgwick County,Colorado,50.2,64.2,36.1,89.33,8055
275,CO-117,Summit County,Colorado,37,49.3,24.7,119.5,8057
276,CO-119,Teller County,Colorado,41.2,55.6,26.8,88.06,8059
277,CO-121,Washington County,Colorado,50.7,65.8,35.6,73.71,8061
278,CO-123,Weld County,Colorado,49.4,64.5,34.3,66.76,8063
279,CO-125,Yuma County,Colorado,51.7,66.3,37.1,81.79,8065
280,CT-001,Fairfield County,Connecticut,52.2,61.4,43,248.04,8067
281,CT-003,Hartford County,Connecticut,50.9,61,40.8,259.55,8069
282,CT-005,Litchfield County,Connecticut,48.4,58.5,38.4,256.29,8071
283,CT-007,Middlesex County,Connecticut,51.6,61,42.2,252.47,8073
284,CT-009,New Haven County,Connecticut,51.6,60.9,42.2,254.52,8075
285,CT-011,New London County,Connecticut,51.6,60.7,42.6,245.98,8077
286,CT-013,Tolland County,Connecticut,50.1,60.1,40.2,264.93,8079
287,CT-015,Windham County,Connecticut,50.3,60,40.5,265.74,8081
288,DE-001,Kent County,Delaware,57,66.6,47.5,241.99,8083
289,DE-003,New Castle County,Delaware,56,65.2,46.7,243.42,8085
290,DE-005,Sussex County,Delaware,58.1,67.9,48.3,246.05,8087
291,FL-001,Alachua County,Florida,70.8,81.8,59.8,300.76,8089
292,FL-003,Baker County,Florida,69.4,80.8,58,253.14,8091
293,FL-005,Bay County,Florida,69.7,79.6,59.8,300.88,8093
294,FL-007,Bradford County,Florida,70.3,81.4,59.2,284.47,8095
295,FL-009,Brevard County,Florida,74,82.2,65.8,258.75,8097
296,FL-011,Broward County,Florida,76.9,85.9,67.9,315.02,8099
297,FL-013,Calhoun County,Florida,69.1,80.1,58.1,297.95,8101
298,FL-015,Charlotte County,Florida,75.4,85.8,65,274.03,8103
299,FL-017,Citrus County,Florida,72.4,82.7,62.1,285.76,8105
300,FL-019,Clay County,Florida,71,81.4,60.7,285.86,8107
301,FL-021,Collier County,Florida,76.2,86,66.4,297.58,8109
302,FL-023,Columbia County,Florida,69.2,80.5,57.8,265.95,8111
303,FL-027,DeSoto County,Florida,74.4,85.4,63.4,270.86,8113
304,FL-029,Dixie County,Florida,70.5,80.8,60.2,323.07,8115
305,FL-031,Duval County,Florida,70.8,80.5,61.1,267.32,8117
306,FL-033,Escambia County,Florida,68.5,78.4,58.7,346.04,8119
307,FL-035,Flagler County,Florida,72.5,81.8,63.2,279.59,8121
308,FL-037,Franklin County,Florida,69.9,79.8,60.1,288.6,8123
309,FL-039,Gadsden County,Florida,68.7,79.6,57.7,279.75,8125
310,FL-041,Gilchrist County,Florida,70.4,81.4,59.3,307.25,9001
311,FL-043,Glades County,Florida,75.1,85.4,64.7,249.74,9003
312,FL-045,Gulf County,Florida,69.8,79.9,59.7,295.73,9005
313,FL-047,Hamilton County,Florida,68.6,79.8,57.3,260.68,9007
314,FL-049,Hardee County,Florida,74.2,85.3,63.2,265.18,9009
315,FL-051,Hendry County,Florida,75.6,85.8,65.3,247.51,9011
316,FL-053,Hernando County,Florida,73.1,83.3,62.9,277.26,9013
317,FL-055,Highlands County,Florida,74.5,85.2,63.8,258.08,9015
318,FL-057,Hillsborough County,Florida,74.4,84,64.8,276.83,10001
319,FL-059,Holmes County,Florida,68,79.4,56.7,316.74,10003
320,FL-061,Indian River County,Florida,74.4,83.4,65.3,262.34,10005
321,FL-063,Jackson County,Florida,68.7,79.6,57.7,297.67,11001
322,FL-065,Jefferson County,Florida,69.2,79.6,58.8,275.14,11001
323,FL-067,Lafayette County,Florida,69.7,80.6,58.8,300.28,12001
324,FL-069,Lake County,Florida,73.4,83.6,63.1,260.91,12003
325,FL-071,Lee County,Florida,76,85.7,66.3,278.07,12005
326,FL-073,Leon County,Florida,69,79.8,58.2,273.65,12007
327,FL-075,Levy County,Florida,71.6,81.8,61.4,293.34,12009
328,FL-077,Liberty County,Florida,69.3,80.3,58.3,292.59,12011
329,FL-079,Madison County,Florida,69,79.6,58.4,274.77,12013
330,FL-081,Manatee County,Florida,74.2,84.3,64.2,272.61,12015
331,FL-083,Marion County,Florida,72,82.8,61.3,283.52,12017
332,FL-085,Martin County,Florida,76.2,84.9,67.5,290.71,12019
333,FL-086,Miami-Dade County,Florida,77.4,86,68.8,283.77,12021
334,FL-087,Monroe County,Florida,77.8,85.8,69.9,255.32,12023
335,FL-089,Nassau County,Florida,70,80.4,59.5,263.85,12027
336,FL-091,Okaloosa County,Florida,68.3,78.8,57.7,333.42,12029
337,FL-093,Okeechobee County,Florida,74.8,84.7,64.9,261.94,12031
338,FL-095,Orange County,Florida,74.1,83.8,64.4,255.52,12033
339,FL-097,Osceola County,Florida,74.4,84.3,64.4,252.11,12035
340,FL-099,Palm Beach County,Florida,76.5,85.6,67.4,294.08,12037
341,FL-101,Pasco County,Florida,73.6,83.6,63.5,276.3,12039
342,FL-103,Pinellas County,Florida,74.8,82.8,66.8,271.81,12041
343,FL-105,Polk County,Florida,74.4,84.8,63.9,264.07,12043
344,FL-107,Putnam County,Florida,71.9,82.1,61.7,300.64,12045
345,FL-109,St. Johns County,Florida,71.9,80.8,62.9,287.84,12047
346,FL-111,St. Lucie County,Florida,75.3,84.2,66.4,284.52,12049
347,FL-113,Santa Rosa County,Florida,68.1,78.2,58.1,330.91,12051
348,FL-115,Sarasota County,Florida,74.4,84.7,64.1,270.75,12053
349,FL-117,Seminole County,Florida,73.8,83.3,64.3,257.89,12055
350,FL-119,Sumter County,Florida,72.9,83.7,62.1,269.42,12057
351,FL-121,Suwannee County,Florida,69.3,80.4,58.2,277.46,12059
352,FL-123,Taylor County,Florida,70.1,80.1,60,293.73,12061
353,FL-125,Union County,Florida,69.7,81,58.3,274.3,12063
354,FL-127,Volusia County,Florida,73.1,82.3,63.8,270.28,12065
355,FL-129,Wakulla County,Florida,69.7,80,59.3,277.41,12067
356,FL-131,Walton County,Florida,68.4,79.2,57.7,330.09,12069
357,FL-133,Washington County,Florida,68.7,79.8,57.6,306.95,12071
358,GA-001,Appling County,Georgia,67.7,78.9,56.4,239.22,12073
359,GA-003,Atkinson County,Georgia,67.7,78.9,56.5,239,12075
360,GA-005,Bacon County,Georgia,67.8,78.9,56.7,222.76,12077
361,GA-007,Baker County,Georgia,67.8,78.5,57,259.21,12079
362,GA-009,Baldwin County,Georgia,65.3,77.3,53.4,248.66,12081
363,GA-011,Banks County,Georgia,62,72.6,51.5,309.55,12083
364,GA-013,Barrow County,Georgia,62.4,73.1,51.8,302.16,12085
365,GA-015,Bartow County,Georgia,61.6,72.7,50.4,286.94,12086
366,GA-017,Ben Hill County,Georgia,67.3,78.3,56.2,257.59,12087
367,GA-019,Berrien County,Georgia,67.2,78.5,55.9,258.63,12089
368,GA-021,Bibb County,Georgia,65.6,77.6,53.6,247.87,12091
369,GA-023,Bleckley County,Georgia,66.4,78,54.9,266.43,12093
370,GA-025,Brantley County,Georgia,68.5,80,57.1,261.88,12095
371,GA-027,Brooks County,Georgia,67.5,78.4,56.6,268.83,12097
372,GA-029,Bryan County,Georgia,68.1,79,57.3,252.12,12099
373,GA-031,Bulloch County,Georgia,67.2,78.7,55.7,256.75,12101
374,GA-033,Burke County,Georgia,66,77.7,54.3,241.53,12103
375,GA-035,Butts County,Georgia,64.3,76.2,52.4,258.3,12105
376,GA-037,Calhoun County,Georgia,67.4,78.1,56.6,268.09,12107
377,GA-039,Camden County,Georgia,69.4,79.6,59.1,259.8,12109
378,GA-043,Candler County,Georgia,67,78.4,55.6,256.73,12111
379,GA-045,Carroll County,Georgia,62.5,73.8,51.1,326.27,12113
380,GA-047,Catoosa County,Georgia,61.3,71.9,50.8,315.36,12115
381,GA-049,Charlton County,Georgia,69.2,80.6,57.9,252.13,12117
382,GA-051,Chatham County,Georgia,68.4,78.6,58.3,245,12119
383,GA-053,Chattahoochee County,Georgia,65.4,76.8,53.9,277.2,12121
384,GA-055,Chattooga County,Georgia,61.3,72,50.6,327.17,12123
385,GA-057,Cherokee County,Georgia,60.9,71.7,50.1,304.7,12125
386,GA-059,Clarke County,Georgia,63.1,73.8,52.3,292.6,12127
